Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Manchester City,57,31,21.9,"12,14M","136,00M",6.7,1,93,73,29,6,3,99,26
Liverpool,61,34,22.3,"13,38M","86,30M",6.6,2,92,68,28,8,2,94,26
Chelsea,60,30,23.6,"16,20M","115,00M",6.5,3,74,43,21,11,6,76,33
Tottenham,55,26,22.4,"8,46M","61,00M",6.1,4,71,29,22,5,11,69,40
Arsenal,67,37,22.4,"14,27M","147,10M",5.9,5,69,13,22,3,13,61,48
Manchester United,57,31,23.4,"18,68M","145,00M",5.9,6,58,0,16,10,12,57,57
West Ham,40,20,24.4,"4,54M","68,50M",5.9,7,56,9,16,8,14,60,51
Leicester,43,25,23.9,"7,04M","44,20M",5.9,8,52,3,14,10,14,62,59
Brighton,56,34,22.4,"2,95M","39,90M",5.9,9,51,-2,12,15,11,42,44
Wolverhampton,47,36,22.4,"3,72M","36,30M",5.7,10,51,-5,15,6,17,38,43
Newcastle,40,13,25.3,"6,11M","157,97M",5.7,11,49,-18,13,10,15,44,62
Crystal Palace,33,15,24.4,"4,77M","45,80M",5.8,12,48,4,11,15,12,50,46
Brentford,52,34,22.7,"1,25M","26,10M",5.5,13,46,-8,13,7,18,48,56
Aston Villa,48,21,22.7,"6,62M","68,00M",5.7,14,45,-2,13,6,19,52,54
Southampton,37,16,23.5,"5,09M","31,10M",5.6,15,40,-24,9,13,16,43,67
Everton,49,24,24.1,"9,80M","60,10M",5.5,16,39,-23,11,6,21,43,66
Leeds,40,16,22.1,"2,14M","15,00M",5.4,17,38,-37,9,11,18,42,79
Burnley,36,15,25.9,"4,62M","43,00M",5.6,18,35,-19,7,14,17,34,53
Watford,58,37,24.2,666K,"17,60M",5.5,19,23,-43,6,5,27,34,77
Norwich,42,25,22.8,147K,"40,00M",5.2,20,22,-61,5,7,26,23,84
